LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
-19.4716900000,141.8604400000,362.6700000000,1.6800000000,1.2800000000,2022/11/17,"0404",A,"100",6.1NRT,311.9300000000,158.7600000000,D
-18.7086000000,145.5959000000,344.2100000000,1.0400000000,1.0200000000,2022/11/17,"0404",A,"91",6.1NRT,313.1400000000,36.1100000000,D
-18.7099300000,145.5861200000,345.2600000000,1.0400000000,1.0200000000,2022/11/17,"0404",A,"91",6.1NRT,310.6800000000,37.8700000000,D
-18.4526400000,145.5179300000,435.4800000000,1.0400000000,1.0200000000,2022/11/17,"0404",A,"100",6.1NRT,307.7800000000,560.0100000000,D
-18.1052500000,145.4405800000,344.9100000000,1.0400000000,1.0200000000,2022/11/17,"0406",A,"91",6.1NRT,310.5900000000,35.7600000000,D
-18.1079300000,145.4210400000,344.1400000000,1.0400000000,1.0200000000,2022/11/17,"0406",A,"91",6.1NRT,311.5700000000,36.1700000000,D
-18.0987800000,145.4196200000,351.2900000000,1.0400000000,1.0200000000,2022/11/17,"0406",A,"95",6.1NRT,310.8900000000,50.0800000000,D
-18.1001200000,145.4098100000,355.6900000000,1.0400000000,1.0200000000,2022/11/17,"0406",A,"97",6.1NRT,309.2300000000,61.7300000000,D
-17.8391900000,145.5113700000,343.7500000000,1.0300000000,1.0200000000,2022/11/17,"0406",A,"91",6.1NRT,301.9800000000,42.9200000000,D
-17.8405300000,145.5016800000,354.4300000000,1.0300000000,1.0200000000,2022/11/17,"0406",A,"97",6.1NRT,302.7300000000,64.5400000000,D
-17.8418700000,145.4919700000,366.7200000000,1.0300000000,1.0200000000,2022/11/17,"0406",A,"100",6.1NRT,299.6500000000,98.7000000000,D
-17.8327600000,145.4906200000,348.2900000000,1.0300000000,1.0200000000,2022/11/17,"0406",A,"94",6.1NRT,294.5300000000,47.7100000000,D
-17.8341100000,145.4808300000,360.8700000000,1.0300000000,1.0200000000,2022/11/17,"0406",A,"100",6.1NRT,293.9600000000,80.3500000000,D
-17.8354500000,145.4710800000,372.9100000000,1.0400000000,1.0200000000,2022/11/17,"0406",A,"100",6.1NRT,299.2400000000,122.3500000000,D
-17.8249900000,145.4794600000,359.5000000000,1.0300000000,1.0200000000,2022/11/17,"0406",A,"99",6.1NRT,299.9800000000,74.7500000000,D
-17.8263300000,145.4697300000,356.6200000000,1.0400000000,1.0200000000,2022/11/17,"0406",A,"98",6.1NRT,298.2300000000,69.8800000000,D
-17.8067600000,145.4766500000,343.1300000000,1.0300000000,1.0200000000,2022/11/17,"0406",A,"91",6.1NRT,300.3500000000,42.3300000000,D
-17.7699700000,145.2751800000,353.2200000000,1.0500000000,1.0200000000,2022/11/17,"0406",A,"96",6.1NRT,307.9300000000,60.8500000000,D
-17.0714900000,138.6365200000,354.3800000000,2.7100000000,1.5800000000,2022/11/17,"0406",A,"96",6.1NRT,309.2100000000,225.6000000000,D
-17.0684300000,138.6312900000,358.8800000000,2.7100000000,1.5800000000,2022/11/17,"0406",A,"99",6.1NRT,309.4600000000,270.6400000000,D
-15.8448700000,144.4383900000,372.5600000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"100",6.1NRT,311.1000000000,121.5200000000,D
-15.8462200000,144.4283600000,352.3600000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"95",6.1NRT,307.4000000000,58.0500000000,D
-15.8355600000,144.4370300000,351.2000000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"94",6.1NRT,311.1000000000,51.6200000000,D
-15.8382800000,144.4168200000,370.0400000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"100",6.1NRT,309.6500000000,112.7200000000,D
-16.0487100000,142.0662500000,381.7900000000,1.4600000000,1.1900000000,2022/11/17,"0406",A,"100",6.1NRT,310.0900000000,247.8400000000,D
-16.0432900000,142.0726300000,351.1700000000,1.4600000000,1.1900000000,2022/11/17,"0406",A,"93",6.1NRT,307.8400000000,76.8200000000,D
-16.0450300000,142.0590500000,350.0200000000,1.4600000000,1.1900000000,2022/11/17,"0406",A,"92",6.1NRT,307.6400000000,74.7600000000,D
-15.7279400000,144.3671900000,358.0500000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"98",6.1NRT,310.9800000000,69.4700000000,D
-15.6999500000,144.3631000000,350.5700000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"94",6.1NRT,307.3200000000,49.4100000000,D
-15.9969600000,142.0939000000,354.2100000000,1.4500000000,1.1900000000,2022/11/17,"0406",A,"96",6.1NRT,313.1000000000,81.8900000000,D
-15.6797400000,144.4419100000,354.6500000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"96",6.1NRT,310.2100000000,58.0300000000,D
-15.6892800000,144.3717000000,351.8900000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"94",6.1NRT,306.9200000000,52.4500000000,D
-15.6652200000,144.4090400000,364.8100000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"100",6.1NRT,313.7900000000,88.5400000000,D
-15.6665700000,144.3990600000,358.9300000000,1.0800000000,1.0400000000,2022/11/17,"0406",A,"99",6.1NRT,311.3500000000,70.5400000000,D
-15.6471300000,143.6107500000,368.5400000000,1.1700000000,1.0800000000,2022/11/17,"0406",A,"100",6.1NRT,307.5600000000,119.3700000000,D
-15.6492500000,142.0362900000,358.7100000000,1.4500000000,1.1900000000,2022/11/17,"0406",A,"99",6.1NRT,311.4900000000,107.1100000000,D
-11.7250100000,142.4641700000,344.9500000000,1.2200000000,1.1000000000,2022/11/17,"0406",A,"91",6.1NRT,300.3400000000,48.6800000000,D
-11.7264900000,142.4531100000,381.3100000000,1.2200000000,1.1000000000,2022/11/17,"0406",A,"100",6.1NRT,304.9100000000,189.8400000000,D
-11.7082900000,142.4392100000,356.2500000000,1.2200000000,1.1000000000,2022/11/17,"0406",A,"98",6.1NRT,295.5200000000,82.9000000000,D
-16.1332600000,-60.9844300000,319.1700000000,2.7300000000,1.5800000000,2022/11/17,"0505",A,"98",6.1NRT,291.5200000000,75.3700000000,N
-16.0638400000,-61.8462000000,342.8000000000,3.1800000000,1.6900000000,2022/11/17,"0505",A,"100",6.1NRT,292.0900000000,258.7000000000,N
-16.3883500000,-61.1048400000,321.7100000000,2.7500000000,1.5900000000,2022/11/17,"0505",A,"100",6.1NRT,292.6200000000,85.3300000000,N
-16.2976900000,-61.9971300000,320.1900000000,3.2300000000,1.7000000000,2022/11/17,"0505",A,"100",6.1NRT,292.1200000000,99.9600000000,N
-16.6660500000,-60.4752200000,397.5100000000,2.4400000000,1.5100000000,2022/11/17,"0505",A,"100",6.1NRT,303.6200000000,866.3100000000,N
-16.6700500000,-60.4528800000,345.3300000000,2.4300000000,1.5000000000,2022/11/17,"0505",A,"100",6.1NRT,295.7900000000,183.3100000000,N
-16.6613200000,-60.4793400000,367.8100000000,2.4400000000,1.5100000000,2022/11/17,"0505",A,"100",6.1NRT,298.0100000000,394.6100000000,N
-16.6654800000,-60.4570400000,350.3000000000,2.4300000000,1.5000000000,2022/11/17,"0505",A,"100",6.1NRT,297.0200000000,222.7100000000,N
-16.6747300000,-60.4820300000,370.8200000000,2.4400000000,1.5100000000,2022/11/17,"0505",A,"100",6.1NRT,298.6400000000,430.6000000000,N
-16.6788500000,-60.4598200000,344.3200000000,2.4300000000,1.5000000000,2022/11/17,"0505",A,"100",6.1NRT,295.4500000000,179.6000000000,N
-17.7019500000,-60.7846000000,322.8100000000,2.4500000000,1.5100000000,2022/11/17,"0505",A,"100",6.1NRT,293.5600000000,76.7600000000,N
-17.7061000000,-60.7618600000,331.0500000000,2.4400000000,1.5100000000,2022/11/17,"0505",A,"100",6.1NRT,293.6900000000,112.3500000000,N
-17.7013200000,-60.7658800000,331.1000000000,2.4400000000,1.5100000000,2022/11/17,"0505",A,"100",6.1NRT,293.4500000000,112.7100000000,N
-18.6480500000,-62.7734500000,341.3800000000,3.2800000000,1.7100000000,2022/11/17,"0505",A,"100",6.1NRT,294.4900000000,257.1300000000,N
-18.6540900000,-62.7430200000,344.1800000000,3.2600000000,1.7100000000,2022/11/17,"0505",A,"100",6.1NRT,294.8400000000,283.1400000000,N
-20.5425100000,-58.6322400000,362.6500000000,1.5100000000,1.2100000000,2022/11/17,"0508",A,"100",6.1NRT,297.5700000000,172.0200000000,N
-20.5450000000,-58.6179400000,327.4200000000,1.5000000000,1.2100000000,2022/11/17,"0508",A,"100",6.1NRT,292.9400000000,47.4200000000,N
-20.6153600000,-60.0522700000,338.2900000000,1.8900000000,1.3400000000,2022/11/17,"0508",A,"100",6.1NRT,295.4200000000,101.0700000000,N
-20.6086000000,-60.0563200000,326.0500000000,1.8900000000,1.3400000000,2022/11/17,"0508",A,"100",6.1NRT,295.2900000000,60.4400000000,N
